,Country/Region,Continent,Lat,Long,TotalCases,TotalDeaths,TotalRecovered,Date
0,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-22
1,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-23
2,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-24
3,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-25
4,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-26
5,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-27
6,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-28
7,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-29
8,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-30
9,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-01-31
10,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-01
11,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-02
12,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-03
13,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-04
14,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-05
15,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-06
16,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-07
17,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-08
18,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-09
19,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-10
20,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-11
21,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-12
22,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-13
23,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-14
24,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-15
25,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-16
26,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-17
27,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-18
28,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-19
29,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-20
30,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-21
31,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-22
32,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-23
33,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-24
34,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-25
35,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-26
36,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-27
37,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-28
38,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-02-29
39,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-01
40,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-02
41,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-03
42,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-04
43,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-05
44,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-06
45,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-07
46,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-08
47,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-09
48,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-10
49,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-11
50,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-12
51,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-13
52,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-14
53,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-15
54,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-16
55,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-17
56,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-18
57,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-19
58,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-20
59,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-21
60,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-22
61,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-23
62,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-24
63,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-25
64,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-26
65,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-27
66,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-28
67,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-29
68,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-30
69,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-03-31
70,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-01
71,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-02
72,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-03
73,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-04
74,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-05
75,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-06
76,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-07
77,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-08
78,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-09
79,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-10
80,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-11
81,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-12
82,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-13
83,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-14
84,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-15
85,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-16
86,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-17
87,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-18
88,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-19
89,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-20
90,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-21
91,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-22
92,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-23
93,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-24
94,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-25
95,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-26
96,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-27
97,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-28
98,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-29
99,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-04-30
100,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-01
101,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-02
102,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-03
103,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-04
104,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-05
105,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-06
106,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-07
107,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-08
108,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-09
109,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-10
110,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-11
111,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-12
112,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-13
113,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-14
114,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-15
115,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-16
116,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-17
117,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-18
118,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-19
119,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-20
120,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-21
121,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-22
122,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-23
123,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-24
124,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-25
125,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-26
126,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-27
127,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-28
128,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-29
129,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-30
130,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-05-31
131,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-01
132,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-02
133,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-03
134,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-04
135,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-05
136,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-06
137,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-07
138,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-08
139,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-09
140,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-10
141,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-11
142,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-12
143,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-13
144,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-14
145,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-15
146,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-16
147,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-17
148,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-18
149,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-19
150,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-20
151,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-21
152,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-22
153,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-23
154,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-24
155,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-25
156,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-26
157,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-27
158,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-28
159,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-29
160,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-06-30
161,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-07-01
162,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-07-02
163,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-07-03
164,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-07-04
165,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-07-05
166,Brazil,South America,-14.235,-51.9253,2917562,98644.0,2047660.0,2020-07-06
